4.97175	36.69	-21.7
5.00778	36.69	-21.7
5.04407	36.69	-21.7
5.08062	36.69	-21.7
5.11743	36.69	-21.7
5.15452	36.69	-21.7
5.19187	36.69	-21.7
5.22949	36.7	-21.7
5.26739	36.7	-21.7
5.30556	36.7	-21.7
5.344	36.71	-21.7
5.38273	36.72	-21.7
5.42173	36.74	-21.7
5.46102	36.76	-21.7
5.50059	36.79	-21.7
5.54045	36.84	-21.7
5.5806	36.9	-21.7
5.62104	36.98	-21.7
5.66177	37.1	-21.7
5.7028	37.26	-21.7
5.74413	37.48	-21.7
5.78575	37.77	-21.7
5.82768	38.15	-21.7
5.86991	38.64	-21.7
5.91244	39.26	-21.7
5.95529	40	-21.7
5.99844	40.87	-21.7
6.04191	41.87	-21.7
6.08569	42.98	-21.7
6.12979	44.18	-21.7
6.17421	45.27	-21.7
6.21895	46.02	-21.7
6.26401	46.48	-21.7
6.30941	46.78	-21.7
6.35513	46.98	-21.7
6.40118	47.11	-21.7
6.44756	47.2	-21.7
6.49429	47.27	-21.7
6.54135	47.31	-21.7
6.58875	47.34	-21.7
6.63649	47.37	-21.7
6.68458	47.38	-21.7
6.73302	47.39	-21.7
6.78181	47.4	-21.7
6.83096	47.41	-21.7
6.88046	47.41	-21.7
6.93031	47.41	-21.7
6.98053	47.41	-21.7
7.03112	47.42	-21.7
7.08207	47.42	-21.7
7.13339	47.42	-21.7
7.18508	47.42	-21.7
7.23715	47.42	-21.7
7.28959	47.42	-21.7
7.34241	47.43	-21.7
7.39562	47.43	-21.7
7.44921	47.43	-21.7
7.50319	47.44	-21.7
7.55756	47.45	-21.7
7.61233	47.46	-21.7
7.66749	47.48	-21.7
7.72305	47.5	-21.7
7.77901	47.52	-21.7
7.83538	47.53	-21.7
7.89216	47.54	-21.7
7.94935	47.55	-21.7
8.00696	47.55	-21.7
8.06498	47.56	-21.7
8.12342	47.56	-21.7
8.18229	47.57	-21.7
8.24158	47.58	-21.7
8.3013	47.59	-21.7
8.36146	47.6	-21.7
8.42205	47.62	-21.8
8.48308	47.64	-21.8
8.54455	47.68	-21.9
8.60646	47.72	-22
8.66883	47.79	-22.1
8.73165	47.89	-22.3
8.79492	48.02	-22.6
8.85865	48.2	-23
8.92285	48.44	-23.5
8.98751	48.76	-24.3
9.05263	49.18	-25.4
9.11823	49.71	-27
9.18431	50.37	-29.3
9.25086	51.03	-31.9
9.31789	51.52	-34.2
9.38542	51.84	-35.7
9.45343	52.05	-36.9
9.52193	52.19	-37.7
9.59093	52.28	-38.3
9.66043	52.35	-38.7
9.73043	52.39	-39
9.80094	52.42	-39.3
9.87197	52.43	-39.5
9.9435	52.44	-39.8
10.01556	52.43	-40.1
10.08813	52.41	-40.4
10.16124	52.38	-40.9
10.23487	52.34	-41.5
10.30903	52.27	-42.4
10.38374	52.16	-43.6
10.45898	52.01	-45.4
10.53477	51.78	-47.9
10.61111	51.43	-51.4
10.68801	50.87	-56.4
10.76545	50.12	-62.2
10.84347	49.36	-67.2
10.92204	48.73	-70.7
11.00119	48.23	-73.2
11.08091	47.83	-75
11.1612	47.53	-76.2
11.24208	47.31	-77.2
11.32355	47.16	-77.9
11.4056	47.06	-78.4
11.48825	46.99	-78.9
11.5715	46.97	-79.3
11.65535	46.97	-79.8
11.73981	47.02	-80.4
11.82488	47.1	-81.1
11.91057	47.22	-82.1
11.99688	47.41	-83.4
12.08381	47.66	-85.3
12.17138	48	-88
12.25958	48.45	-91.8
12.34842	48.92	-96.2
12.4379	49.29	-100
12.52803	49.55	-102.7
12.61881	49.73	-104.6
12.71025	49.88	-106
12.80236	50.01	-107
12.89513	50.13	-107.7
12.98857	50.27	-108.4
13.08269	50.44	-108.9
13.17749	50.65	-109.5
13.27298	50.92	-110.1
13.36916	51.27	-110.9
13.46604	51.72	-111.9
13.56362	52.29	-113.2
13.66191	52.98	-115.1
13.76091	53.8	-117.8
13.86063	54.6	-120.9
13.96107	55.19	-123.6
14.06224	55.56	-125.5
14.16414	55.82	-126.8
14.26678	55.99	-127.8
14.37016	56.13	-128.6
14.47429	56.24	-129.2
14.57918	56.33	-129.8
14.68482	56.43	-130.3
14.79124	56.54	-130.9
14.89842	56.68	-131.7
15.00638	56.86	-132.6
15.11512	57.09	-134
15.22465	57.39	-135.8
15.33498	57.79	-138.4
15.4461	58.21	-141.4
15.55803	58.54	-144
15.67077	58.77	-145.8
15.78433	58.93	-147.1
15.89871	59.05	-148
16.01391	59.15	-148.6
16.12996	59.23	-149.1
16.24684	59.33	-149.4
16.36457	59.43	-149.6
16.48316	59.56	-149.8
16.6026	59.72	-150
16.72291	59.94	-150.1
16.84409	60.2	-150.2
16.96615	60.44	-150.4
17.08909	60.63	-150.5
17.21293	60.77	-150.6
17.33766	60.88	-150.8
17.4633	60.97	-151
17.58984	61.06	-151.3
17.71731	61.15	-151.6
17.84569	61.26	-152.2
17.97501	61.41	-152.9
18.10526	61.6	-154
18.23646	61.82	-155.3
18.36861	62.04	-156.7
18.50172	62.24	-158.1
18.63579	62.4	-159.2
18.77083	62.53	-160.1
18.90685	62.63	-160.8
19.04386	62.72	-161.4
19.18186	62.81	-162
19.32086	62.92	-162.7
19.46087	63.06	-163.6
19.60189	63.21	-164.7
19.74393	63.36	-165.7
19.887	63.5	-166.7
20.03111	63.64	-167.6
20.17627	63.76	-168.3
20.32247	63.86	-168.8
20.46974	63.94	-169.1
20.61807	64.02	-169.2
20.76748	64.11	-169.1
20.91797	64.22	-168.9
21.06955	64.34	-168.6
21.22223	64.47	-168.2
21.37601	64.6	-167.9
21.53091	64.74	-167.5
21.68693	64.88	-167.2
21.84408	65.02	-167.1
22.00238	65.18	-167
22.16181	65.37	-167.1
22.32241	65.62	-167.3
22.48416	65.9	-167.6
22.64709	66.18	-167.9
22.8112	66.46	-168.3
22.9765	66.76	-168.8
23.143	67.1	-169.5
23.3107	67.44	-170.3
23.47962	67.8	-171.3
23.64977	68.22	-172.7
23.82114	68.66	-174.3
23.99376	69.04	-176
24.16763	69.37	-177.5
24.34276	69.69	-179.2
24.51916	70.04	178.8
24.69683	70.41	176.4
24.87579	70.75	173.8
25.05606	71.08	171
25.23762	71.38	168
25.4205	71.64	165.2
25.60471	71.85	162.6
25.79025	72.05	159.9
25.97714	72.25	156.8
26.16538	72.45	153.2
26.35499	72.62	149.5
26.54597	72.75	146
26.73833	72.84	142.9
26.93209	72.91	140.2
27.12725	72.95	137.7
27.32382	72.98	135
27.52182	73	131.8
27.72126	73	128
27.92214	72.99	124.2
28.12447	72.96	121.1
28.32827	72.93	118.6
28.53355	72.89	116.3
28.74032	72.84	114.1
28.94858	72.76	111.6
29.15835	72.66	108.6
29.36965	72.52	105.2
29.58247	72.4	102.2
29.79684	72.29	99.8
30.01276	72.18	97.7
30.23024	72.06	95.8
30.4493	71.91	93.7
30.66995	71.71	91.1
30.8922	71.48	88.4
31.11606	71.25	85.9
31.34154	71.05	84
31.56865	70.85	82.3
31.79741	70.64	80.7
32.02783	70.37	79
32.25991	70.04	77
32.49368	69.68	75.1
32.72915	69.35	73.6
