1.029    	7.048    	-6.145    
1.059    	7.048    	-6.145    
1.091    	7.048    	-6.145    
1.122    	7.048    	-6.145    
1.155    	7.048    	-6.145    
1.189    	7.048    	-6.145    
1.224    	7.048    	-6.145    
1.260    	7.048    	-6.145    
1.297    	7.048    	-6.145    
1.335    	6.584    	0.236    
1.374    	6.584    	0.236    
1.414    	6.584    	0.236    
1.456    	6.584    	0.236    
1.498    	6.584    	0.236    
1.542    	6.584    	0.236    
1.587    	6.584    	0.236    
1.634    	6.584    	0.236    
1.682    	6.584    	0.236    
1.731    	6.584    	0.236    
1.782    	6.584    	0.236    
1.834    	6.584    	0.236    
1.888    	6.584    	0.236    
1.943    	6.584    	0.236    
2.000    	6.400    	3.827    
2.059    	6.400    	3.827    
2.119    	6.400    	3.827    
2.181    	6.400    	3.827    
2.245    	6.400    	3.827    
2.311    	6.400    	3.827    
2.378    	6.400    	3.827    
2.448    	6.400    	3.827    
2.520    	6.400    	3.827    
2.594    	6.400    	3.827    
2.670    	6.522    	3.900    
2.748    	6.522    	3.900    
2.828    	6.522    	3.900    
2.911    	6.522    	3.900    
2.997    	6.522    	3.900    
3.084    	6.522    	3.900    
3.175    	6.522    	3.900    
3.268    	6.522    	3.900    
3.364    	6.578    	4.848    
3.462    	6.578    	4.848    
3.564    	6.578    	4.848    
3.668    	6.578    	4.848    
3.775    	6.578    	4.848    
3.886    	6.578    	4.848    
4.000    	6.644    	5.104    
4.117    	6.644    	5.104    
4.238    	6.644    	5.104    
4.362    	6.644    	5.104    
4.490    	6.644    	5.104    
4.621    	6.644    	5.104    
4.757    	6.706    	5.709    
4.896    	6.706    	5.709    
5.040    	6.706    	5.709    
5.187    	6.706    	5.709    
5.339    	6.751    	5.911    
5.496    	6.751    	5.911    
5.657    	6.751    	5.911    
5.823    	6.751    	5.911    
5.993    	6.796    	6.361    
6.169    	6.796    	6.361    
6.350    	6.796    	6.361    
6.536    	6.796    	6.361    
6.727    	6.828    	6.572    
6.924    	6.828    	6.572    
7.127    	6.828    	6.572    
7.336    	6.853    	6.933    
7.551    	6.853    	6.933    
7.772    	6.853    	6.933    
8.000    	6.869    	7.203    
8.234    	6.869    	7.203    
8.476    	6.869    	7.203    
8.724    	6.880    	7.497    
8.980    	6.880    	7.497    
