PartNumber,Description,Value,DCR_Ohm,AWG,Type,URL,Price
Jantzen Audio 000-0206,"Jantzen Audio 000-0206 | 0,10 mH | 0,18 Ω | 3% | 18 AWG",0.1,0.18,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0206.html,6.95
Jantzen Audio 000-1810,"Jantzen Audio 000-1810 | 0,10 mH | 0,09 Ω | 3% | 17 AWG",0.1,0.09,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1810.html,7.45
Jantzen Audio 000-0951,"Jantzen Audio 000-0951 | 0,10 mH | 0,096 Ω | 3% | 17 AWG",0.1,0.096,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0951.html,7.45
Jantzen Audio 000-1533,"Jantzen Audio 000-1533 | 0,1 mH | 0,12 Ω | 3% | 17 AWG",0.1,0.12,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1533.html,7.95
Jantzen Audio 000-1535,"Jantzen Audio 000-1535 | 0,10 mH | 0,075 Ω | 3% | 15 AWG",0.1,0.075,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1535.html,7.95
Intertechnik LUT32/010/10,"Intertechnik LUT32/010/10 | 0,1 mH | 0,17 Ω | 3% | 18 AWG",0.1,0.17,18.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lut32-010-10.html,9.45
Jantzen Audio 000-L-0010,"Jantzen Audio 000-L-0010 | 0,10 mH | 0,09 Ω | 3% | 15 AWG",0.1,0.09,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-l-0010.html,10.45
Jantzen Audio 000-0002,"Jantzen Audio 000-0002 | 0,10 mH | 0,067 Ω | 3% | 14 AWG",0.1,0.067,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0002.html,10.45
Intertechnik LU44/010/100,"Intertechnik LU44/010/100 | 0,1 mH | 0,14 Ω | 3% | 18 AWG",0.1,0.14,18.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu44-010-100.html,11.45
Intertechnik LU55/010/140,"Intertechnik LU55/010/140 | 0,1 mH | 0,08 Ω | 3% | 15 AWG",0.1,0.08,15.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu55-010-140.html,12.45
"Mundorf CFC16-0,10","Mundorf CFC16-0,10 | 0,10 mH | 0,10 Ω | 2% | 16,5 AWG",0.1,0.1,16.5,Air Core,https://www.soundimports.eu/en/mundorf-cfc16-010.html,17.94
Jantzen Audio 000-7620,"Jantzen Audio 000-7620 | 0,10 mH | 0,10 Ω | 2% | 16 AWG",0.1,0.1,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7620.html,18.45
