PartNumber,Description,Value,DCR_Ohm,AWG,Type,URL,Price
Jantzen Audio 000-1417,"Jantzen Audio 000-1417 | 0,35 mH | 0,17 Ω | 3% | 15 AWG",0.35,0.17,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1417.html,15.95
Jantzen Audio 000-L-0035,"Jantzen Audio 000-L-0035 | 0,35 mH | 0,19 Ω | 3% | 15 AWG",0.35,0.19,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-l-0035.html,17.94
Jantzen Audio 000-7682,"Jantzen Audio 000-7682 | 0,35 mH | 0,20 Ω | 2% | 16 AWG",0.35,0.2,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7682.html,25.45
Jantzen Audio 000-8559,"Jantzen Audio 000-8559 | 0,35 mH | 0,20 Ω | 2% | 16 AWG",0.35,0.2,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8559.html,28.45
Jantzen Audio 000-8035,"Jantzen Audio 000-8035 | 0,35 mH | 0,11 Ω | 2% | 12 AWG",0.35,0.11,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8035.html,50.95
Jantzen Audio 000-2414,"Jantzen Audio 000-2414 | 0,36 mH | 0,12 Ω | 3% | 18 AWG",0.36,0.12,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-2414.html,7.45
Jantzen Audio 000-1153,"Jantzen Audio 000-1153 | 0,36 mH | 0,28 Ω | 3% | 18 AWG",0.36,0.28,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1153.html,8.45
Jantzen Audio 000-1729,"Jantzen Audio 000-1729 | 0,36 mH | 0,23 Ω | 3% | 17 AWG",0.36,0.23,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1729.html,11.95
Jantzen Audio 000-1415,"Jantzen Audio 000-1415 | 0,36 mH | 0,17 Ω | 3% | 15 AWG",0.36,0.17,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1415.html,15.45
Jantzen Audio 000-7685,"Jantzen Audio 000-7685 | 0,36 mH | 0,2 Ω | 2% | 16 AWG",0.36,0.2,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7685.html,24.95
Jantzen Audio 000-8560,"Jantzen Audio 000-8560 | 0,36 mH | 0,19 Ω | 2% | 16 AWG",0.36,0.19,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8560.html,27.45
Jantzen Audio 000-8305,"Jantzen Audio 000-8305 | 0,36 mH | 0,14 Ω | 2% | 14 AWG",0.36,0.14,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8305.html,35.95
Jantzen Audio 000-7037,"Jantzen Audio 000-7037 | 0,36 mH | 0,11 Ω | 2% | 12 AWG",0.36,0.11,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7037.html,51.45
Jantzen Audio 000-8036,"Jantzen Audio 000-8036 | 0,36 mH | 0,11 Ω | 2% | 12 AWG",0.36,0.11,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8036.html,51.95
Jantzen Audio 000-1117,"Jantzen Audio 000-1117 | 0,37 mH | 0,28 Ω | 3% | 18 AWG",0.37,0.28,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1117.html,8.45
Jantzen Audio 000-1116,"Jantzen Audio 000-1116 | 0,37 mH | 0,17 Ω | 3% | 15 AWG",0.37,0.17,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1116.html,14.45
Jantzen Audio 000-7688,"Jantzen Audio 000-7688 | 0,37 mH | 0,20 Ω | 2% | 16 AWG",0.37,0.2,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7688.html,25.95
Jantzen Audio 000-8561,"Jantzen Audio 000-8561 | 0,37 mH | 0,2 Ω | 2% | 16 AWG",0.37,0.2,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8561.html,27.45
Jantzen Audio 000-1837,"Jantzen Audio 000-1837 | 0,38 mH | 0,29 Ω | 3% | 18 AWG",0.38,0.29,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1837.html,8.45
Jantzen Audio 000-0862,"Jantzen Audio 000-0862 | 0,38 mH | 0,11 Ω | 3% | 13 AWG",0.38,0.11,13.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0862.html,21.95
Jantzen Audio 000-7691,"Jantzen Audio 000-7691 | 0,38 mH | 0,21 Ω | 2% | 16 AWG",0.38,0.21,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7691.html,24.95
Jantzen Audio 000-8562,"Jantzen Audio 000-8562 | 0,38 mH | 0,20 Ω | 2% | 16 AWG",0.38,0.2,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8562.html,27.95
Jantzen Audio 000-8309,"Jantzen Audio 000-8309 | 0,38 mH | 0,15 Ω | 2% | 14 AWG",0.38,0.15,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8309.html,36.45
Jantzen Audio 000-2059,"Jantzen Audio 000-2059 | 0,39 mH | 0,14 Ω | 3% | 18 AWG",0.39,0.14,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-2059.html,7.45
Jantzen Audio 000-1104,"Jantzen Audio 000-1104 | 0,39 mH | 0,29 Ω | 3% | 18 AWG",0.39,0.29,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1104.html,8.45
Jantzen Audio 000-1624,"Jantzen Audio 000-1624 | 0,39 mH | 0,285 Ω | 3% | 18 AWG",0.39,0.285,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1624.html,8.45
Jantzen Audio 000-1677,"Jantzen Audio 000-1677 | 0,39 mH | 0,293 Ω | 3% | 18 AWG",0.39,0.293,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1677.html,8.95
Jantzen Audio 000-1988,"Jantzen Audio 000-1988 | 0,39 mH | 0,32 Ω | 3% | 18 AWG",0.39,0.32,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1988.html,9.45
"Mundorf L100-0,39","Mundorf L100-0,39 | 0,39 mH | 0,29 Ω | 2% | 18 AWG",0.39,0.29,18.0,Air Core,https://www.soundimports.eu/en/mundorf-l100-039.html,9.95
"Mundorf P100-0,39","Mundorf P100-0,39 | 0,39 mH | 0,17 Ω | 3% | 18 AWG",0.39,0.17,18.0,Air Core,https://www.soundimports.eu/en/mundorf-p100-039.html,10.45
Jantzen Audio 000-1641,"Jantzen Audio 000-1641 | 0,39 mH | 0,205 Ω | 3% | 17 AWG",0.39,0.205,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1641.html,10.45
Jantzen Audio 000-1181,"Jantzen Audio 000-1181 | 0,39 mH | 0,24 Ω | 3% | 17 AWG",0.39,0.24,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1181.html,12.45
Jantzen Audio 000-1274,"Jantzen Audio 000-1274 | 0,39 mH | 0,17 Ω | 3% | 15 AWG",0.39,0.17,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1274.html,13.46
Intertechnik LU44/039/100,"Intertechnik LU44/039/100 | 0,39 mH | 0,33 Ω | 3% | 18 AWG",0.39,0.33,18.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu44-039-100.html,15.45
Jantzen Audio 000-1895,"Jantzen Audio 000-1895 | 0,39 mH | 0,17 Ω | 3% | 15 AWG",0.39,0.17,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1895.html,16.46
Intertechnik LUT44/039/10,"Intertechnik LUT44/039/10 | 0,39 mH | 0,37 Ω | 3% | 18 AWG",0.39,0.37,18.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lut44-039-10.html,16.46
Jantzen Audio 000-L-0039,"Jantzen Audio 000-L-0039 | 0,39 mH | 0,2 Ω | 3% | 15 AWG",0.39,0.2,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-l-0039.html,19.44
Jantzen Audio 000-0009,"Jantzen Audio 000-0009 | 0,39 mH | 0,14 Ω | 3% | 14 AWG",0.39,0.14,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0009.html,19.44
Intertechnik LU55/039/140,"Intertechnik LU55/039/140 | 0,39 mH | 0,18 Ω | 3% | 15 AWG",0.39,0.18,15.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu55-039-140.html,19.95
Jantzen Audio 000-0109,"Jantzen Audio 000-0109 | 0,39 mH | 0,11 Ω | 3% | 13 AWG",0.39,0.11,13.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0109.html,23.45
Jantzen Audio 000-7694,"Jantzen Audio 000-7694 | 0,39 mH | 0,21 Ω | 2% | 16 AWG",0.39,0.21,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7694.html,25.95
"Mundorf CFC16-0,39","Mundorf CFC16-0,39 | 0,39 mH | 0,20 Ω | 2% | 16,5 AWG",0.39,0.2,16.5,Air Core,https://www.soundimports.eu/en/mundorf-cfc16-039.html,27.95
Jantzen Audio 000-7328,"Jantzen Audio 000-7328 | 0,39 mH | 0,15 Ω | 2% | 14 AWG",0.39,0.15,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7328.html,35.45
Intertechnik LU92/039/200,"Intertechnik LU92/039/200 | 0,39 mH | 0,10 Ω | 3% | 12 AWG",0.39,0.1,12.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu92-039-200.html,38.95
"Mundorf CFC14-0,39","Mundorf CFC14-0,39 | 0,39 mH | 0,14 Ω | 2% | 14 AWG",0.39,0.14,14.0,Air Core,https://www.soundimports.eu/en/mundorf-cfc14-039.html,39.95
Intertechnik TRI62/039/0.50,"Intertechnik TRI62/039/0.50 | 0,39 mH | 0,209 Ω | 1% | 7 x 24 AWG",0.39,0.209,7.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-tri62-039-0-50.html,39.95
Intertechnik TRI62/039/0.60,"Intertechnik TRI62/039/0.60 | 0,39 mH | 0,16 Ω | 1% | 7 x 23 AWG",0.39,0.16,7.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-tri62-039-0-60.html,49.95
Jantzen Audio 000-8039,"Jantzen Audio 000-8039 | 0,39 mH | 0,11 Ω | 2% | 12 AWG",0.39,0.11,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8039.html,53.45
"Mundorf CFC12-0,39","Mundorf CFC12-0,39 | 0,39 mH | 0,11 Ω | 2% | 12 AWG",0.39,0.11,12.0,Air Core,https://www.soundimports.eu/en/mundorf-cfc12-039.html,64.95
Dayton Audio LW18-40,Dayton Audio LW18-40 | 0.40 mH | 0.29 Ω | 3% | 18 AWG,0.4,0.29,18.0,Air Core,https://www.soundimports.eu/en/dayton-audio-lw18-40.html,6.95
Jantzen Audio 000-1950,"Jantzen Audio 000-1950 | 0,40 mH | 0,29 Ω | 3% | 18 AWG",0.4,0.29,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1950.html,8.45
Jantzen Audio 000-1966,"Jantzen Audio 000-1966 | 0,40 mH | 0,294 Ω | 3% | 18 AWG",0.4,0.294,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1966.html,8.45
Jantzen Audio 000-1654,"Jantzen Audio 000-1654 | 0,40 mH | 0,31 Ω | 3% | 18 AWG",0.4,0.31,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1654.html,9.45
Jantzen Audio 000-1841,"Jantzen Audio 000-1841 | 0,40 mH | 0,33 Ω | 3% | 18 AWG",0.4,0.33,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1841.html,9.45
Jantzen Audio 000-2139,"Jantzen Audio 000-2139 | 0,40 mH | 0,11 Ω | 3% | 17 AWG",0.4,0.11,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-2139.html,9.45
Jantzen Audio 000-1515,"Jantzen Audio 000-1515 | 0,4 mH | 0,22 Ω | 3% | 17 AWG",0.4,0.22,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1515.html,11.95
Jantzen Audio 000-1243,"Jantzen Audio 000-1243 | 0,4 mH | 0,17 Ω | 3% | 15 AWG",0.4,0.17,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1243.html,15.45
Jantzen Audio 000-1548,"Jantzen Audio 000-1548 | 0,4 mH | 0,18 Ω | 3% | 15 AWG",0.4,0.18,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1548.html,16.46
Jantzen Audio 000-1186,"Jantzen Audio 000-1186 | 0,40 mH | 0,18 Ω | 3% | 15 AWG",0.4,0.18,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1186.html,16.46
Jantzen Audio 000-L-0040,"Jantzen Audio 000-L-0040 | 0,40 mH | 0,22 Ω | 3% | 15 AWG",0.4,0.22,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-l-0040.html,18.95
Jantzen Audio 000-0050,"Jantzen Audio 000-0050 | 0,40 mH | 0,14 Ω | 3% | 14 AWG",0.4,0.14,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0050.html,19.44
Jantzen Audio 000-0829,"Jantzen Audio 000-0829 | 0,4 mH | 0,12 Ω | 3% | 13 AWG",0.4,0.12,13.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0829.html,22.45
Dayton Audio LW14-40,Dayton Audio LW14-40 | 0.40 mH | 0.15 Ω | 3% | 14 AWG,0.4,0.15,14.0,Air Core,https://www.soundimports.eu/en/dayton-audio-lw14-40.html,26.45
Jantzen Audio 000-8570,"Jantzen Audio 000-8570 | 0,40 mH | 0,21 Ω | 2% | 16 AWG",0.4,0.21,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8570.html,28.45
Jantzen Audio 000-7329,"Jantzen Audio 000-7329 | 0,40 mH | 0,15 Ω | 2% | 14 AWG",0.4,0.15,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7329.html,35.95
Jantzen Audio 000-8313,"Jantzen Audio 000-8313 | 0,40 mH | 0,16 Ω | 2% | 14 AWG",0.4,0.16,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8313.html,38.45
Jantzen Audio 000-1303,"Jantzen Audio 000-1303 | 0,41 mH | 0,30 Ω | 3% | 18 AWG",0.41,0.3,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1303.html,8.45
Jantzen Audio 000-7700,"Jantzen Audio 000-7700 | 0,41 mH | 0,22 Ω | 2% | 16 AWG",0.41,0.22,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7700.html,25.45
Jantzen Audio 000-7330,"Jantzen Audio 000-7330 | 0,41 mH | 0,15 Ω | 2% | 14 AWG",0.41,0.15,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7330.html,36.45
Jantzen Audio 000-1577,"Jantzen Audio 000-1577 | 0,42 mH | 0,30 Ω | 3% | 18 AWG",0.42,0.3,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1577.html,8.45
Jantzen Audio 000-1976,"Jantzen Audio 000-1976 | 0,42 mH | 0,25 Ω | 3% | 17 AWG",0.42,0.25,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1976.html,11.45
Jantzen Audio 000-1189,"Jantzen Audio 000-1189 | 0,42 mH | 0,19 Ω | 3% | 15 AWG",0.42,0.19,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1189.html,15.45
Jantzen Audio 000-8575,"Jantzen Audio 000-8575 | 0,42 mH | 0,22 Ω | 2% | 16 AWG",0.42,0.22,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8575.html,28.96
Jantzen Audio 000-8315,"Jantzen Audio 000-8315 | 0,42 mH | 0,16 Ω | 2% | 14 AWG",0.42,0.16,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8315.html,38.95
Jantzen Audio 000-0911,"Jantzen Audio 000-0911 | 0,424 mH | 0,3 Ω | 3% | 18 AWG",0.424,0.3,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0911.html,8.45
Jantzen Audio 000-0199,"Jantzen Audio 000-0199 | 0,43 mH | 0,19 Ω | 3% | 15 AWG",0.43,0.19,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0199.html,15.45
Jantzen Audio 000-7706,"Jantzen Audio 000-7706 | 0,43 mH | 0,22 Ω | 2% | 16 AWG",0.43,0.22,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7706.html,26.95
Jantzen Audio 000-1191,"Jantzen Audio 000-1191 | 0,44 mH | 0,31 Ω | 3% | 18 AWG",0.44,0.31,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1191.html,8.45
Jantzen Audio 000-2367,"Jantzen Audio 000-2367 | 0,45 mH | 0,16 Ω | 3% | 18 AWG",0.45,0.16,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-2367.html,7.45
Jantzen Audio 000-1196,"Jantzen Audio 000-1196 | 0,45 mH | 0,31 Ω | 3% | 18 AWG",0.45,0.31,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1196.html,8.45
Jantzen Audio 000-0053,"Jantzen Audio 000-0053 | 0,45 mH | 0,16 Ω | 3% | 14 AWG",0.45,0.16,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0053.html,20.45
Jantzen Audio 000-7710,"Jantzen Audio 000-7710 | 0,45 mH | 0,22 Ω | 2% | 16 AWG",0.45,0.22,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7710.html,27.95
Jantzen Audio 000-8578,"Jantzen Audio 000-8578 | 0,45 mH | 0,23 Ω | 2% | 16 AWG",0.45,0.23,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8578.html,29.45
Jantzen Audio 000-1977,"Jantzen Audio 000-1977 | 0,46 mH | 0,26 Ω | 3% | 17 AWG",0.46,0.26,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1977.html,11.95
Jantzen Audio 000-2175,"Jantzen Audio 000-2175 | 0,47 mH | 0,126 Ω | 3% | 18 AWG",0.47,0.126,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-2175.html,7.45
Jantzen Audio 000-2058,"Jantzen Audio 000-2058 | 0,47 mH | 0,17 Ω | 3% | 18 AWG",0.47,0.17,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-2058.html,7.45
Jantzen Audio 000-2366,"Jantzen Audio 000-2366 | 0,47 mH | 0,12 Ω | 3% | 17 AWG",0.47,0.12,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-2366.html,8.45
Jantzen Audio 000-1031,"Jantzen Audio 000-1031 | 0,47 mH | 0,32 Ω | 3% | 18 AWG",0.47,0.32,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1031.html,9.45
Jantzen Audio 000-1281,"Jantzen Audio 000-1281 | 0,47 mH | 0,32 Ω | 3% | 18 AWG",0.47,0.32,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1281.html,9.45
Jantzen Audio 000-1989,"Jantzen Audio 000-1989 | 0,47 mH | 0,36 Ω | 3% | 18 AWG",0.47,0.36,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1989.html,9.45
Jantzen Audio 000-1539,"Jantzen Audio 000-1539 | 0,47 mH | 0,33 Ω | 3% | 18 AWG",0.47,0.33,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1539.html,9.45
Jantzen Audio 000-5081,"Jantzen Audio 000-5081 | 0,47 mH | 0,08 Ω | 3% | 17 AWG",0.47,0.08,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-5081.html,9.45
"Mundorf L100-0,47","Mundorf L100-0,47 | 0,47 mH | 0,32 Ω | 2% | 18 AWG",0.47,0.32,18.0,Air Core,https://www.soundimports.eu/en/mundorf-l100-047.html,9.95
"Mundorf P100-0,47","Mundorf P100-0,47 | 0,47 mH | 0,19 Ω | 3% | 18 AWG",0.47,0.19,18.0,Air Core,https://www.soundimports.eu/en/mundorf-p100-047.html,10.95
Jantzen Audio 000-0887,"Jantzen Audio 000-0887 | 0,47 mH | 0,25 Ω | 3% | 17 AWG",0.47,0.25,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0887.html,11.45
Jantzen Audio 000-1760,"Jantzen Audio 000-1760 | 0,47 mH | 0,259 Ω | 3% | 17 AWG",0.47,0.259,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1760.html,11.95
Jantzen Audio 000-1198,"Jantzen Audio 000-1198 | 0,47 mH | 0,26 Ω | 3% | 17 AWG",0.47,0.26,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1198.html,13.46
Jantzen Audio 000-5436,"Jantzen Audio 000-5436 | 0,47 mH | 0,06 Ω | 3% | 14 AWG",0.47,0.06,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-5436.html,14.45
Intertechnik LU44/047/100,"Intertechnik LU44/047/100 | 0,47 mH | 0,36 Ω | 3% | 18 AWG",0.47,0.36,18.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu44-047-100.html,14.96
Jantzen Audio 000-1242,"Jantzen Audio 000-1242 | 0,47 mH | 0,18 Ω | 3% | 15 AWG",0.47,0.18,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1242.html,16.46
Intertechnik LUT44/047/10,"Intertechnik LUT44/047/10 | 0,47 mH | 0,41 Ω | 3% | 18 AWG",0.47,0.41,18.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lut44-047-10.html,16.95
Jantzen Audio 000-1518,"Jantzen Audio 000-1518 | 0,47 mH | 0,20 Ω | 3% | 15 AWG",0.47,0.2,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1518.html,17.45
Jantzen Audio 000-L-0047,"Jantzen Audio 000-L-0047 | 0,47 mH | 0,22 Ω | 3% | 15 AWG",0.47,0.22,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-l-0047.html,19.44
Jantzen Audio 000-0010,"Jantzen Audio 000-0010 | 0,47 mH | 0,164 Ω | 3% | 14 AWG",0.47,0.164,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0010.html,20.95
Intertechnik LU55/047/140,"Intertechnik LU55/047/140 | 0,47 mH | 0,19 Ω | 3% | 15 AWG",0.47,0.19,15.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu55-047-140.html,21.95
Jantzen Audio 000-0110,"Jantzen Audio 000-0110 | 0,47 mH | 0,13 Ω | 3% | 13 AWG",0.47,0.13,13.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0110.html,25.45
Intertechnik AT55/047/132,"Intertechnik AT55/047/132 | 0,47 mH | 0,21 Ω | 3% | 16 AWG",0.47,0.21,16.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-at55-047-132.html,27.95
Jantzen Audio 000-7715,"Jantzen Audio 000-7715 | 0,47 mH | 0,23 Ω | 2% | 16 AWG",0.47,0.23,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7715.html,28.45
"Mundorf CFC16-0,47","Mundorf CFC16-0,47 | 0,47 mH | 0,23 Ω | 2% | 16,5 AWG",0.47,0.23,16.5,Air Core,https://www.soundimports.eu/en/mundorf-cfc16-047.html,29.95
Jantzen Audio 000-7338,"Jantzen Audio 000-7338 | 0,47 mH | 0,15 Ω | 2% | 14 AWG",0.47,0.15,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7338.html,36.45
Jantzen Audio 000-8320,"Jantzen Audio 000-8320 | 0,47 mH | 0,17 Ω | 2% | 14 AWG",0.47,0.17,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8320.html,41.95
Intertechnik LU92/047/200,"Intertechnik LU92/047/200 | 0,47 mH | 0,11 Ω | 3% | 12 AWG",0.47,0.11,12.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu92-047-200.html,42.45
Intertechnik TRI62/047/0.50,"Intertechnik TRI62/047/0.50 | 0,47 mH | 0,239 Ω | 1% | 7 x 24 AWG",0.47,0.239,7.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-tri62-047-0-50.html,43.95
"Mundorf CFC14-0,47","Mundorf CFC14-0,47 | 0,47 mH | 0,16 Ω | 2% | 14 AWG",0.47,0.16,14.0,Air Core,https://www.soundimports.eu/en/mundorf-cfc14-047.html,44.95
Intertechnik TRI62/047/0.60,"Intertechnik TRI62/047/0.60 | 0,47 mH | 0,17 Ω | 1% | 7 x 23 AWG",0.47,0.17,7.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-tri62-047-0-60.html,51.95
Jantzen Audio 000-7045,"Jantzen Audio 000-7045 | 0,47 mH | 0,12 Ω | 2% | 12 AWG",0.47,0.12,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7045.html,56.45
Jantzen Audio 000-8047,"Jantzen Audio 000-8047 | 0,47 mH | 0,13 Ω | 2% | 12 AWG",0.47,0.13,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8047.html,61.46
Intertechnik TRI92/0.47/0.80,"Intertechnik TRI92/0.47/0.80 | 0,47 mH | 0,11 Ω | 1% | 7 x 20 AWG",0.47,0.11,7.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-tri92-0-47-0-80.html,68.45
Jantzen Audio 000-9047,"Jantzen Audio 000-9047 | 0,47 mH | 0,05 Ω | 2% | 8 AWG",0.47,0.05,8.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-9047.html,138.45
Jantzen Audio 000-1201,"Jantzen Audio 000-1201 | 0,48 mH | 0,33 Ω | 3% | 18 AWG",0.48,0.33,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1201.html,9.45
Jantzen Audio 000-1054,"Jantzen Audio 000-1054 | 0,48 mH | 0,26 Ω | 3% | 17 AWG",0.48,0.26,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1054.html,12.45
Jantzen Audio 000-7718,"Jantzen Audio 000-7718 | 0,48 mH | 0,24 Ω | 2% | 16 AWG",0.48,0.24,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7718.html,28.45
Jantzen Audio 000-1203,"Jantzen Audio 000-1203 | 0,49 mH | 0,33 Ω | 3% | 18 AWG",0.49,0.33,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1203.html,9.45
Jantzen Audio 000-L-0049,"Jantzen Audio 000-L-0049 | 0,49 mH | 0,23 Ω | 3% | 15 AWG",0.49,0.23,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-l-0049.html,20.45
Jantzen Audio 000-7721,"Jantzen Audio 000-7721 | 0,49 mH | 0,24 Ω | 2% | 16 AWG",0.49,0.24,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7721.html,29.45
Dayton Audio LW18-50,Dayton Audio LW18-50 | 0.50 mH | 0.33 Ω | 3% | 18 AWG,0.5,0.33,18.0,Air Core,https://www.soundimports.eu/en/dayton-audio-lw18-50.html,7.45
Jantzen Audio 000-5115,"Jantzen Audio 000-5115 | 0,50 mH | 0,11 Ω | 3% | 18 AWG",0.5,0.11,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-5115.html,7.45
Jantzen Audio 000-5214,"Jantzen Audio 000-5214 | 0,50 mH | 0,09 Ω | 3% | 17 AWG",0.5,0.09,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-5214.html,8.95
