PartNumber,Description,Value,DCR_Ohm,AWG,Type,URL,Price
Jantzen Audio 000-9047,"Jantzen Audio 000-9047 | 0,47 mH | 0,05 Ω | 2% | 8 AWG",0.47,0.05,8.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-9047.html,114.42
Jantzen Audio 000-1755,"Jantzen Audio 000-1755 | 0,48 mH | 0,70 Ω | 3% | 21 AWG",0.48,0.7,21.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1755.html,5.74
Jantzen Audio 000-1762,"Jantzen Audio 000-1762 | 0,48 mH | 0,69 Ω | 3% | 21 AWG",0.48,0.69,21.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1762.html,5.74
Jantzen Audio 000-1201,"Jantzen Audio 000-1201 | 0,48 mH | 0,33 Ω | 3% | 18 AWG",0.48,0.33,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1201.html,7.81
Jantzen Audio 000-1054,"Jantzen Audio 000-1054 | 0,48 mH | 0,26 Ω | 3% | 17 AWG",0.48,0.26,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1054.html,10.29
Jantzen Audio 000-7718,"Jantzen Audio 000-7718 | 0,48 mH | 0,24 Ω | 2% | 16 AWG",0.48,0.24,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7718.html,23.51
Jantzen Audio 000-1055,"Jantzen Audio 000-1055 | 0,49 mH | 2,29 Ω | 3% | 29 AWG",0.49,2.29,29.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1055.html,4.09
Jantzen Audio 000-1203,"Jantzen Audio 000-1203 | 0,49 mH | 0,33 Ω | 3% | 18 AWG",0.49,0.33,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1203.html,7.81
Jantzen Audio 000-L-0049,"Jantzen Audio 000-L-0049 | 0,49 mH | 0,23 Ω | 3% | 15 AWG",0.49,0.23,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-l-0049.html,16.9
Jantzen Audio 000-7721,"Jantzen Audio 000-7721 | 0,49 mH | 0,24 Ω | 2% | 16 AWG",0.49,0.24,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7721.html,24.34
Dayton Audio AC20-50,Dayton Audio AC20-50 | 0.50 mH | 0.49 Ω | 5% | 20 AWG,0.5,0.49,20.0,Air Core,https://www.soundimports.eu/en/dayton-audio-ac20-50.html,4.09
Jantzen Audio 000-1389,"Jantzen Audio 000-1389 | 0,50 mH | 1,53 Ω | 3% | 26 AWG",0.5,1.53,26.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1389.html,4.09
Jantzen Audio 000-1327,"Jantzen Audio 000-1327 | 0,50 mH | 1 Ω | 3% | 24 AWG",0.5,1.0,24.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1327.html,4.5
Jantzen Audio 000-1596,"Jantzen Audio 000-1596 | 0,50 mH | 0,67 Ω | 3% | 22 AWG",0.5,0.67,22.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1596.html,4.5
Jantzen Audio 000-2413,"Jantzen Audio 000-2413 | 0,50 mH | 0,493 Ω | 3% | 24 AWG",0.5,0.493,24.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-2413.html,4.92
Jantzen Audio 000-0883,"Jantzen Audio 000-0883 | 0,50 mH | 1,08 Ω | 3% | 24 AWG",0.5,1.08,24.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0883.html,4.92
Jantzen Audio 000-1405,"Jantzen Audio 000-1405 | 0,50 mH | 0,58 Ω | 3% | 21 AWG",0.5,0.58,21.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1405.html,5.33
Jantzen Audio 000-2028,"Jantzen Audio 000-2028 | 0,50 mH | 0,23 Ω | 3% | 20 AWG",0.5,0.23,20.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-2028.html,5.33
Dayton Audio LW18-50,Dayton Audio LW18-50 | 0.50 mH | 0.33 Ω | 3% | 18 AWG,0.5,0.33,18.0,Air Core,https://www.soundimports.eu/en/dayton-audio-lw18-50.html,6.16
Jantzen Audio 000-1034,"Jantzen Audio 000-1034 | 0,50 mH | 0,49 Ω | 3% | 20 AWG",0.5,0.49,20.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1034.html,6.16
Jantzen Audio 000-5115,"Jantzen Audio 000-5115 | 0,50 mH | 0,11 Ω | 3% | 18 AWG",0.5,0.11,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-5115.html,6.16
Jantzen Audio 000-5214,"Jantzen Audio 000-5214 | 0,50 mH | 0,09 Ω | 3% | 17 AWG",0.5,0.09,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-5214.html,7.4
Jantzen Audio 000-1403,"Jantzen Audio 000-1403 | 0,50 mH | 0,38 Ω | 3% | 18 AWG",0.5,0.38,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1403.html,8.64
Jantzen Audio 000-5215,"Jantzen Audio 000-5215 | 0,50 mH | 0,06 Ω | 3% | 15 AWG",0.5,0.06,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-5215.html,8.64
Jantzen Audio 000-1401,"Jantzen Audio 000-1401 | 0,50 mH | 0,33 Ω | 3% | 18 AWG",0.5,0.33,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1401.html,9.46
Jantzen Audio 000-0950,"Jantzen Audio 000-0950 | 0,50 mH | 0,26 Ω | 3% | 17 AWG",0.5,0.26,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0950.html,9.88
Jantzen Audio 000-1505,"Jantzen Audio 000-1505 | 0,5 mH | 0,26 Ω | 3% | 17 AWG",0.5,0.26,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1505.html,11.12
Jantzen Audio 000-1267,"Jantzen Audio 000-1267 | 0,5 mH | 0,21 Ω | 3% | 15 AWG",0.5,0.21,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1267.html,13.6
Jantzen Audio 000-L-0050,"Jantzen Audio 000-L-0050 | 0,5 mH | 0,25 Ω | 3% | 15 AWG",0.5,0.25,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-l-0050.html,16.9
Jantzen Audio 000-0981,"Jantzen Audio 000-0981 | 0,50 mH | 0,16 Ω | 3% | 14 AWG",0.5,0.16,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0981.html,17.73
Jantzen Audio 000-7724,"Jantzen Audio 000-7724 | 0,50 mH | 0,24 Ω | 2% | 16 AWG",0.5,0.24,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7724.html,24.34
Jantzen Audio 000-8584,"Jantzen Audio 000-8584 | 0,5 mH | 0,24 Ω | 2% | 16 AWG",0.5,0.24,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8584.html,25.17
Jantzen Audio 000-7342,"Jantzen Audio 000-7342 | 0,50 mH | 0,17 Ω | 2% | 14 AWG",0.5,0.17,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7342.html,31.78
Jantzen Audio 000-8324,"Jantzen Audio 000-8324 | 0,50 mH | 0,17 Ω | 2% | 14 AWG",0.5,0.17,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8324.html,35.08
Jantzen Audio 000-8050,"Jantzen Audio 000-8050 | 0,50 mH | 0,13 Ω | 2% | 12 AWG",0.5,0.13,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8050.html,51.61
Jantzen Audio 000-1319,"Jantzen Audio 000-1319 | 0,51 mH | 1,01 Ω | 3% | 24 AWG",0.51,1.01,24.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1319.html,4.5
Jantzen Audio 000-1123,"Jantzen Audio 000-1123 | 0,51 mH | 0,49 Ω | 3% | 20 AWG",0.51,0.49,20.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1123.html,6.16
Jantzen Audio 000-0195,"Jantzen Audio 000-0195 | 0,51 mH | 0,204 Ω | 3% | 15 AWG",0.51,0.204,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0195.html,14.83
Jantzen Audio 000-7726,"Jantzen Audio 000-7726 | 0,51 mH | 0,24 Ω | 2% | 16 AWG",0.51,0.24,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7726.html,22.69
Dayton Audio LW14-51,Dayton Audio LW14-51 | 0.51 mH | 0.17 Ω | 3% | 14 AWG,0.51,0.17,14.0,Air Core,https://www.soundimports.eu/en/dayton-audio-lw14-51.html,25.99
Jantzen Audio 000-8325,"Jantzen Audio 000-8325 | 0,51 mH | 0,17 Ω | 2% | 14 AWG",0.51,0.17,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8325.html,36.32
Jantzen Audio 000-8051,"Jantzen Audio 000-8051 | 0,51 mH | 0,13 Ω | 2% | 12 AWG",0.51,0.13,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8051.html,52.07
Jantzen Audio 000-1665,"Jantzen Audio 000-1665 | 0,52 mH | 0,59 Ω | 3% | 21 AWG",0.52,0.59,21.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1665.html,5.33
Jantzen Audio 000-1545,"Jantzen Audio 000-1545 | 0,52 mH | 0,34 Ω | 3% | 18 AWG",0.52,0.34,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1545.html,8.64
Jantzen Audio 000-0925,"Jantzen Audio 000-0925 | 0,52 mH | 0,261 Ω | 3% | 17 AWG",0.52,0.261,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0925.html,11.12
Jantzen Audio 000-1479,"Jantzen Audio 000-1479 | 0,52 mH | 0,21 Ω | 3% | 15 AWG",0.52,0.21,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1479.html,13.6
Jantzen Audio 000-8586,"Jantzen Audio 000-8586 | 0,52 mH | 0,25 Ω | 2% | 16 AWG",0.52,0.25,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8586.html,25.17
Jantzen Audio 000-1124,"Jantzen Audio 000-1124 | 0,53 mH | 0,50 Ω | 3% | 20 AWG",0.53,0.5,20.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1124.html,6.16
Jantzen Audio 000-0210,"Jantzen Audio 000-0210 | 0,53 mH | 0,21 Ω | 3% | 15 AWG",0.53,0.21,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0210.html,15.25
Jantzen Audio 000-0929,"Jantzen Audio 000-0929 | 0,54 mH | 0,385 Ω | 3% | 18 AWG",0.54,0.385,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0929.html,8.22
Jantzen Audio 000-8588,"Jantzen Audio 000-8588 | 0,54 mH | 0,26 Ω | 2% | 16 AWG",0.54,0.26,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8588.html,25.58
Jantzen Audio 000-1145,"Jantzen Audio 000-1145 | 0,55 mH | 0,75 Ω | 3% | 22 AWG",0.55,0.75,22.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1145.html,4.95
Jantzen Audio 000-1209,"Jantzen Audio 000-1209 | 0,55 mH | 0,60 Ω | 3% | 21 AWG",0.55,0.6,21.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1209.html,5.33
Dayton Audio AC20-55,Dayton Audio AC20-55 | 0.55 mH | 0.54 Ω| 5% | 20 AWG,0.55,0.54,20.0,Air Core,https://www.soundimports.eu/en/dayton-audio-ac20-55.html,5.78
Jantzen Audio 000-1846,"Jantzen Audio 000-1846 | 0,55 mH | 0,51 Ω | 3% | 20 AWG",0.55,0.51,20.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1846.html,6.16
Jantzen Audio 000-1509,"Jantzen Audio 000-1509 | 0,55 mH | 0,3 Ω | 3% | 17 AWG",0.55,0.3,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1509.html,11.94
Jantzen Audio 000-1036,"Jantzen Audio 000-1036 | 0,55 mH | 0,22 Ω | 3% | 15 AWG",0.55,0.22,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1036.html,14.42
Jantzen Audio 000-L-0055,"Jantzen Audio 000-L-0055 | 0,55 mH | 0,25 Ω | 3% | 15 AWG",0.55,0.25,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-l-0055.html,16.9
Jantzen Audio 000-7733,"Jantzen Audio 000-7733 | 0,55 mH | 0,25 Ω | 2% | 16 AWG",0.55,0.25,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7733.html,24.34
Jantzen Audio 000-8589,"Jantzen Audio 000-8589 | 0,55 mH | 0,26 Ω | 2% | 16 AWG",0.55,0.26,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8589.html,25.99
Jantzen Audio 000-1161,"Jantzen Audio 000-1161 | 0,56 mH | 1,53 Ω | 3% | 26 AWG",0.56,1.53,26.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1161.html,4.09
Jantzen Audio 000-2336,"Jantzen Audio 000-2336 | 0,56 mH | 0,52 Ω | 3% | 24 AWG",0.56,0.52,24.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-2336.html,4.5
Jantzen Audio 000-1847,"Jantzen Audio 000-1847 | 0,56 mH | 1,10 Ω | 3% | 24 AWG",0.56,1.1,24.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1847.html,4.5
Jantzen Audio 000-1026,"Jantzen Audio 000-1026 | 0,56 mH | 0,76 Ω | 3% | 22 AWG",0.56,0.76,22.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1026.html,4.92
Jantzen Audio 000-2286,"Jantzen Audio 000-2286 | 0,56 mH | 0,25 Ω | 3% | 21 AWG",0.56,0.25,21.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-2286.html,4.92
Jantzen Audio 000-1848,"Jantzen Audio 000-1848 | 0,56 mH | 0,51 Ω | 3% | 20 AWG",0.56,0.51,20.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1848.html,5.33
Jantzen Audio 000-2306,"Jantzen Audio 000-2306 | 0,56 mH | 0,21 Ω | 3% | 20 AWG",0.56,0.21,20.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-2306.html,5.33
Jantzen Audio 000-0292,"Jantzen Audio 000-0292 | 0,56 mH | 0,56 Ω | 3% | 21 AWG",0.56,0.56,21.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0292.html,5.33
Jantzen Audio 000-1040,"Jantzen Audio 000-1040 | 0,56 mH | 0,61 Ω | 3% | 21 AWG",0.56,0.61,21.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1040.html,5.74
Jantzen Audio 000-2377,"Jantzen Audio 000-2377 | 0,56 mH | 0,17 Ω | 3% | 18 AWG",0.56,0.17,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-2377.html,6.16
Jantzen Audio 000-5243,"Jantzen Audio 000-5243 | 0,56 mH | 0,2 Ω | 3% | 20 AWG",0.56,0.2,20.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-5243.html,6.16
Intertechnik LU32/056/071,"Intertechnik LU32/056/071 | 0,56 mH | 0,65 Ω | 3% | 21 AWG",0.56,0.65,21.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu32-056-071.html,6.98
Jantzen Audio 000-1678,"Jantzen Audio 000-1678 | 0,56 mH | 0,36 Ω | 3% | 18 AWG",0.56,0.36,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1678.html,7.81
Jantzen Audio 000-2055,"Jantzen Audio 000-2055 | 0,56 mH | 0,13 Ω | 3% | 17 AWG",0.56,0.13,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-2055.html,7.81
Jantzen Audio 000-5083,"Jantzen Audio 000-5083 | 0,56 mH | 0,12 Ω | 3% | 18 AWG",0.56,0.12,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-5083.html,7.81
Jantzen Audio 000-1373,"Jantzen Audio 000-1373 | 0,56 mH | 0,40 Ω | 3% | 18 AWG",0.56,0.4,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1373.html,8.22
Jantzen Audio 000-1990,"Jantzen Audio 000-1990 | 0,56 mH | 0,39 Ω | 3% | 18 AWG",0.56,0.39,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1990.html,8.22
Jantzen Audio 000-1035,"Jantzen Audio 000-1035 | 0,56 mH | 0,34 Ω | 3% | 18 AWG",0.56,0.34,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1035.html,8.22
"Mundorf L100-0,56","Mundorf L100-0,56 | 0,56 mH | 0,36 Ω | 2% | 18 AWG",0.56,0.36,18.0,Air Core,https://www.soundimports.eu/en/mundorf-l100-056.html,9.05
"Mundorf P100-0,56","Mundorf P100-0,56 | 0,56 mH | 0,21 Ω | 3% | 18 AWG",0.56,0.21,18.0,Air Core,https://www.soundimports.eu/en/mundorf-p100-056.html,9.46
Jantzen Audio 000-1210,"Jantzen Audio 000-1210 | 0,56 mH | 0,3 Ω | 3% | 17 AWG",0.56,0.3,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1210.html,10.29
Jantzen Audio 000-0888,"Jantzen Audio 000-0888 | 0,56 mH | 0,27 Ω | 3% | 17 AWG",0.56,0.27,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0888.html,10.29
Jantzen Audio 000-5180,"Jantzen Audio 000-5180 | 0,56 mH | 0,08 Ω | 3% | 15 AWG",0.56,0.08,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-5180.html,10.7
Jantzen Audio 000-5435,"Jantzen Audio 000-5435 | 0,56 mH | 0,06 Ω | 3% | 14 AWG",0.56,0.06,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-5435.html,12.36
Intertechnik LU44/056/100,"Intertechnik LU44/056/100 | 0,56 mH | 0,42 Ω | 3% | 18 AWG",0.56,0.42,18.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu44-056-100.html,14.01
Intertechnik LUT44/056/10,"Intertechnik LUT44/056/10 | 0,56 mH | 0,44 Ω | 3% | 18 AWG",0.56,0.44,18.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lut44-056-10.html,14.83
Jantzen Audio 000-1896,"Jantzen Audio 000-1896 | 0,56 mH | 0,22 Ω | 3% | 15 AWG",0.56,0.22,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1896.html,15.25
Jantzen Audio 000-0011,"Jantzen Audio 000-0011 | 0,56 mH | 0,18 Ω | 3% | 14 AWG",0.56,0.18,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0011.html,18.55
Jantzen Audio 000-L-0056,"Jantzen Audio 000-L-0056 | 0,56 mH | 0,24 Ω | 3% | 15 AWG",0.56,0.24,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-l-0056.html,18.55
Intertechnik CO30/056/080,"Intertechnik CO30/056/080 | 0,56 mH | 0,30 Ω | 5% | 20 AWG",0.56,0.3,20.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-co30-056-080.html,19.38
Intertechnik LU62/056/140,"Intertechnik LU62/056/140 | 0,56 mH | 0,22 Ω | 3% | 15 AWG",0.56,0.22,15.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu62-056-140.html,21.03
Jantzen Audio 000-0111,"Jantzen Audio 000-0111 | 0,56 mH | 0,14 Ω | 3% | 13 AWG",0.56,0.14,13.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0111.html,22.69
Jantzen Audio 000-7736,"Jantzen Audio 000-7736 | 0,56 mH | 0,21 Ω | 2% | 16 AWG",0.56,0.21,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7736.html,23.51
Intertechnik AT55/056/132,"Intertechnik AT55/056/132 | 0,56 mH | 0,23 Ω | 3% | 16 AWG",0.56,0.23,16.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-at55-056-132.html,25.99
Jantzen Audio 000-8590,"Jantzen Audio 000-8590 | 0,56 mH | 0,27 Ω | 2% | 16 AWG",0.56,0.27,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8590.html,25.99
Dayton Audio CF16-56,Dayton Audio CF16-56 | 0.56 mH | 0.25 Ω | 3% | 16 AWG,0.56,0.25,16.0,Air Core,https://www.soundimports.eu/en/dayton-audio-cf16-56.html,26.41
"Mundorf CFC16-0,56","Mundorf CFC16-0,56 | 0,56 mH | 0,26 Ω | 2% | 16,5 AWG",0.56,0.26,16.5,Air Core,https://www.soundimports.eu/en/mundorf-cfc16-056.html,26.44
Jantzen Audio 000-7352,"Jantzen Audio 000-7352 | 0,56 mH | 0,18 Ω | 2% | 14 AWG",0.56,0.18,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7352.html,33.02
Intertechnik LU92/056/200,"Intertechnik LU92/056/200 | 0,56 mH | 0,12 Ω | 3% | 12 AWG",0.56,0.12,12.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu92-056-200.html,36.74
Jantzen Audio 000-8330,"Jantzen Audio 000-8330 | 0,56 mH | 0,18 Ω | 2% | 14 AWG",0.56,0.18,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8330.html,37.56
Intertechnik TRI62/056/0.50,"Intertechnik TRI62/056/0.50 | 0,56 mH | 0,257 Ω | 1% | 7 x 24 AWG",0.56,0.257,7.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-tri62-056-0-50.html,39.63
"Mundorf CFC14-0,56","Mundorf CFC14-0,56 | 0,56 mH | 0,18 Ω | 2% | 14 AWG",0.56,0.18,14.0,Air Core,https://www.soundimports.eu/en/mundorf-cfc14-056.html,41.28
Jantzen Audio 000-7050,"Jantzen Audio 000-7050 | 0,56 mH | 0,13 Ω | 2% | 12 AWG",0.56,0.13,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7050.html,49.55
Intertechnik TRI92/0.56/0.60,"Intertechnik TRI92/0.56/0.60 | 0,56 mH | 0,19 Ω | 1% | 7 x 23 AWG",0.56,0.19,7.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-tri92-0-56-0-60.html,49.55
Jantzen Audio 000-8056,"Jantzen Audio 000-8056 | 0,56 mH | 0,14 Ω | 2% | 12 AWG",0.56,0.14,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8056.html,52.85
Intertechnik TRI92/0.56/0.80,"Intertechnik TRI92/0.56/0.80 | 0,56 mH | 0,12 Ω | 1% | 7 x 20 AWG",0.56,0.12,7.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-tri92-0-56-0-80.html,66.07
Jantzen Audio 000-1039,"Jantzen Audio 000-1039 | 0,58 mH | 2,82 Ω | 3% | 29 AWG",0.58,2.82,29.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1039.html,4.09
Jantzen Audio 000-0155,"Jantzen Audio 000-0155 | 0,58 mH | 0,51 Ω | 3% | 20 AWG",0.58,0.51,20.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0155.html,6.16
Jantzen Audio 000-1302,"Jantzen Audio 000-1302 | 0,58 mH | 0,31 Ω | 3% | 17 AWG",0.58,0.31,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1302.html,10.7
Jantzen Audio 000-8591,"Jantzen Audio 000-8591 | 0,58 mH | 0,27 Ω | 2% | 16 AWG",0.58,0.27,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8591.html,26.41
Jantzen Audio 000-1439,"Jantzen Audio 000-1439 | 0,59 mH | 0,82 Ω | 3% | 22 AWG",0.59,0.82,22.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1439.html,4.92
Jantzen Audio 000-7743,"Jantzen Audio 000-7743 | 0,59 mH | 0,27 Ω | 2% | 16 AWG",0.59,0.27,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7743.html,24.34
Dayton Audio AC20-60,Dayton Audio AC20-60 | 0.60 mH | 0.56 Ω | 5% | 20 AWG,0.6,0.56,20.0,Air Core,https://www.soundimports.eu/en/dayton-audio-ac20-60.html,4.34
Jantzen Audio 000-1849,"Jantzen Audio 000-1849 | 0,60 mH | 1,12 Ω | 3% | 24 AWG",0.6,1.12,24.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1849.html,4.92
Jantzen Audio 000-2016,"Jantzen Audio 000-2016 | 0,6 mH | 0,25 Ω | 3% | 20 AWG",0.6,0.25,20.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-2016.html,5.33
Jantzen Audio 000-1406,"Jantzen Audio 000-1406 | 0,60 mH | 0,63 Ω | 3% | 21 AWG",0.6,0.63,21.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1406.html,5.33
Jantzen Audio 000-1850,"Jantzen Audio 000-1850 | 0,6 mH | 0,52 Ω | 3% | 20 AWG",0.6,0.52,20.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1850.html,6.16
Jantzen Audio 000-2184,"Jantzen Audio 000-2184 | 0,60 mH | 0,18 Ω | 3% | 18 AWG",0.6,0.18,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-2184.html,6.16
Jantzen Audio 000-1367,"Jantzen Audio 000-1367 | 0,60 mH | 0,77 Ω | 3% | 21 AWG",0.6,0.77,21.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1367.html,6.16
Dayton Audio LW18-60,Dayton Audio LW18-60 | 0.60 mH | 0.38 Ω | 3% | 18 AWG,0.6,0.38,18.0,Air Core,https://www.soundimports.eu/en/dayton-audio-lw18-60.html,7.4
Jantzen Audio 000-1967,"Jantzen Audio 000-1967 | 0,6 mH | 0,36 Ω | 3% | 18 AWG",0.6,0.36,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1967.html,7.81
Jantzen Audio 000-1951,"Jantzen Audio 000-1951 | 0,60 mH | 0,37 Ω | 3% | 18 AWG",0.6,0.37,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1951.html,7.81
Jantzen Audio 000-1991,"Jantzen Audio 000-1991 | 0,60 mH | 0,41 Ω | 3% | 18 AWG",0.6,0.41,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1991.html,8.22
Jantzen Audio 000-1851,"Jantzen Audio 000-1851 | 0,60 mH | 0,41 Ω | 3% | 18 AWG",0.6,0.41,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1851.html,8.64
Jantzen Audio 000-0912,"Jantzen Audio 000-0912 | 0,60 mH | 0,279 Ω | 3% | 17 AWG",0.6,0.279,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0912.html,10.29
Jantzen Audio 000-1444,"Jantzen Audio 000-1444 | 0,60 mH | 0,23 Ω | 3% | 15 AWG",0.6,0.23,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1444.html,15.66
Jantzen Audio 000-L-0060,"Jantzen Audio 000-L-0060 | 0,6 mH | 0,26 Ω | 3% | 15 AWG",0.6,0.26,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-l-0060.html,18.97
Jantzen Audio 000-0052,"Jantzen Audio 000-0052 | 0,60 mH | 0,184 Ω | 3% | 14 AWG",0.6,0.184,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0052.html,18.97
