PartNumber,Description,Value,Tolerance_pct,Voltage_V,Type,URL,Price
027-740,Audiocap PPT Theta 10uF 200V Film/Foil Capacitor,10.0,10.0,200.0,Film and Foil,https://www.parts-express.com/Audiocap-PPT-Theta-10uF-200V-Film-Foil-Capacitor-027-740,
027-571,Solen 11uF 400V Polypropylene Capacitor,11.0,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Solen-11uF-400V-Polypropylene-Capacitor-027-571,11.13
027-246,Dayton Audio PMPC-12 12uF 250V Precision Audio C,12.0,1.0,250.0,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-PMPC-12-12uF-250V-Precision-Audio-Capacitor-027-246,3.59
027-430,Dayton Audio DMPC-12 12uF 250V Polypropylene C,12.0,5.0,250.0,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-DMPC-12-12uF-250V-Polypropylene-Capacitor-027-430,7.78
027-934,Jantzen 0266 12uF 400V Crosscap Capacitor,12.0,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0266-12uF-400V-Crosscap-Capacitor-027-934,8.1
027-162,Audyn Cap Q4 12uF 400V MKP Foil Capacitor,12.0,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Q4-12uF-400V-MKP-Foil-Capacitor-027-162,7.78
027-572,Solen 12uF 400V Polypropylene Capacitor,12.0,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Solen-12uF-400V-Polypropylene-Capacitor-027-572,3.59
027-342,12uF 100V Non-Polarized Capacitor,12.0,10.0,100.0,Non-Polarized Electrolytic,https://www.parts-express.com/12uF-100V-Non-Polarized-Capacitor-027-342,3.59
027-248,Dayton Audio PMPC-15 15uF 250V Precision Audio C,15.0,1.0,250.0,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-PMPC-15-15uF-250V-Precision-Audio-Capacitor-027-248,4.19
027-790,Jantzen 0686 15uF 800V Z-Silver Capacitor,15.0,2.0,800.0,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0686-15uF-800V-Z-Silver-Capacitor-027-790,53.81
027-498,Jantzen 0586 15uF 800V Z-Superior Capacitor,15.0,2.0,800.0,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0586-15uF-800V-Z-Superior-Capacitor-027-498,75.31
027-432,Dayton Audio DMPC-15 15uF 250V Polypropylene C,15.0,5.0,250.0,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-DMPC-15-15uF-250V-Polypropylene-Capacitor-027-432,12.29
027-284,Jantzen 0449 15uF 400V Z-Standard Capacitor,15.0,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0449-15uF-400V-Z-Standard-Capacitor-027-284,12.56
027-119,Audyn Cap Q4 15uF 400V MKP Foil Capacitor,15.0,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Q4-15uF-400V-MKP-Foil-Capacitor-027-119,8.45
027-936,Jantzen 0268 15uF 400V Crosscap Capacitor,15.0,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0268-15uF-400V-Crosscap-Capacitor-027-936,8.56
027-576,Solen 15uF 400V Polypropylene Capacitor,15.0,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Solen-15uF-400V-Polypropylene-Capacitor-027-576,4.19
027-344,15uF 100V Non-Polarized Capacitor,15.0,10.0,100.0,Non-Polarized Electrolytic,https://www.parts-express.com/15uF-100V-Non-Polarized-Capacitor-027-344,4.19
027-578,Solen 16uF 400V Polypropylene Capacitor,16.0,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Solen-16uF-400V-Polypropylene-Capacitor-027-578,12.24
027-346,17uF 100V Non-Polarized Capacitor,17.0,10.0,100.0,Non-Polarized Electrolytic,https://www.parts-express.com/17uF-100V-Non-Polarized-Capacitor-027-346,1.29
027-434,Dayton Audio DMPC-18 18uF 250V Polypropylene C,18.0,5.0,250.0,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-DMPC-18-18uF-250V-Polypropylene-Capacitor-027-434,4.79
027-580,Solen 18uF 400V Polypropylene Capacitor,18.0,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Solen-18uF-400V-Polypropylene-Capacitor-027-580,4.79
027-938,Jantzen 0270 18uF 400V Crosscap Capacitor,18.0,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0270-18uF-400V-Crosscap-Capacitor-027-938,10.02
027-252,Dayton Audio PMPC-20 20uF 250V Precision Audio C,20.0,1.0,250.0,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-PMPC-20-20uF-250V-Precision-Audio-Capacitor-027-252,12.79
027-436,Dayton Audio DMPC-20 20uF 250V Polypropylene C,20.0,5.0,250.0,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-DMPC-20-20uF-250V-Polypropylene-Capacitor-027-436,6.25
027-939,Jantzen 0271 20uF 400V Crosscap Capacitor,20.0,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0271-20uF-400V-Crosscap-Capacitor-027-939,11.25
027-582,Solen 20uF 400V Polypropylene Capacitor,20.0,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Solen-20uF-400V-Polypropylene-Capacitor-027-582,5.09
027-143,Audyn Cap Plus 22uF 800V Double Layer MKP Foil C,22.0,2.0,800.0,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Plus-22uF-800V-Double-Layer-MKP-Foil-Capacitor-027-143,72.36
027-940,Jantzen 0272 22uF 400V Crosscap Capacitor,22.0,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0272-22uF-400V-Crosscap-Capacitor-027-940,11.37
027-286,Jantzen 0455 22uF 400V Z-Standard Capacitor,22.0,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0455-22uF-400V-Z-Standard-Capacitor-027-286,16.35
027-120,Audyn Cap Q4 22uF 400V MKP Foil Capacitor,22.0,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Q4-22uF-400V-MKP-Foil-Capacitor-027-120,
027-348,22uF 100V Non-Polarized Capacitor,22.0,10.0,100.0,Non-Polarized Electrolytic,https://www.parts-express.com/22uF-100V-Non-Polarized-Capacitor-027-348,1.29
